"gender","reth","pool","compid","recno","race","ethnicity","age","pwgtp","ages","genders","commute","cars","state","row","age_months","temp_age_months","age_years","num","mean_logh","mean_logbw","logbw_resid","logh_resid","weight","height","Blood_mass","Brain_mass","Gonads_mass","Heart_mass","Kidneys_mass","Large_intestine_mass","Liver_mass","Lung_mass","Muscle_mass","Pancreas_mass","Skeleton_mass","Skin_mass","Small_intestine_mass","Spleen_mass","Stomach_mass","org_mass_sum","Adipose_flow","Brain_flow","CO","Gonads_flow","Heart_flow","Kidneys_flow","Large_intestine_flow","Liver_flow","Lung_flow","Muscle_flow","Pancreas_flow","Skeleton_flow","Skin_flow","Small_intestine_flow","Spleen_flow","Stomach_flow","Other_mass","q.adip","Adipose_mass","org_flow_check","weight_adj","BSA_adj","q.gliv","million.cells.per.gliver","hematocrit","log_serum_creat","serum_creat","gfr_est","bmi_adj","bmi","BSA","acprim","acsec","rooms","baths","bedrms","built","hequip","heatfuel","sewdis","lot","unitsf","water","control","income","doeid","nweight","hdd30yr","cdd30yr","kownrent","stories","stove","stovefuel","oven","ovenfuel","ovenuse","stoven","outgrill","dishwash","cwasher","washload","dryer","dryruse","tvcolor","numlaptop","numtablet","pcprint","moisture","prkgplc1","cooltype","tempniteac","numberac","numcfan","notmoist","highceil","windows","adqinsul","drafty","swim","cellar","region","urban","housetyp","famcat","inccat","family"
"Female","Mexican American",228,14800600,"2016001479868","W","M",43,21,"'471743'","MFF",NA,4,"48",1,519,519,43,1,5.04558907333724,4.22953073534486,-0.318279166290273,-0.0252774628738357,49.9614430553491,151.458492492457,2.06097579865543,2.67966494455917,0.176348116370233,0.406479239084777,0.660796701386842,0.439085781930964,2.56977761208501,5.60223679762852,2.06095596739506,0.436080955880411,13.6277477655516,5.6022587327514,0.897378223530008,5.60225915483217,0.238929586215254,23.2418779650185,54.9903825310329,74.361015938122,281.424606284058,0.11587848741419,26.7209553728927,107.531148266221,27.7212259255345,36.7494613708031,14.5000930423234,68.6716829335452,5.86908695527007,31.801654961723,29.7317367514411,68.6262003146285,19.2658977490126,5.91192616954147,4.83951170761574,0.880092818727738,2.06095596987647,0.987180470322283,24.2418779662225,10099.0075034219,0.0557020707185618,1,34.0507898981002,-0.177931658591293,0.836999623267531,85.4935328783267,10.5676641107957,21.779490410571,14498.1654470784,1,12,6,5,4,2000,1,2,1,7000,1750,1,11030888,89900,15407,11977.186,2335,2138,1,20,0,NA,0,NA,2,1,1,1,1,8,1,8,3,3,1,1,0,0,2,85,6,4,0,0,42,2,4,3,0,4,0,1,4,3,21
"Male","Non-Hispanic Black",58,10600107,"2018HU0565780","B","N",48,108,"'004348'","FFM",10,1,"06",2,585,585,48,2,5.16017339672532,4.49157368515886,0.1420347731469,0.00456264577205225,102.884650056442,174.991262218572,3.57568683046108,5.11686329400538,0.202496534315039,1.26149092641179,1.02700352864058,1.33342991148333,5.4797242715038,9.7096324664977,3.57568683046108,0.629088186953563,33.2762264453994,3.57568683046108,2.82703762356368,9.71972453550242,0.708670461940222,27.7733951362779,58.5873077237175,132.551498321811,326.190767818098,0.63119054246317,46.5438160830263,228.197206542571,45.0987146913918,75.5781396695142,29.158900817629,181.396697081528,12.1593701978568,67.1576812846617,59.4285758266444,117.576664490937,33.8675816557144,12.5142507981939,17.2905145483805,0.473218175227106,3.57568683046108,0.94349200833245,28.7733951362779,11826.3978891985,0.392558038558941,1,40.1125612989675,0.00183115755589298,1.00183283514871,102.467041942269,9.39633262793904,33.5983428323534,22363.1112277767,7,12,5,1,3,1930,1,3,2,3000,1500,2,11029594,19130,13928,49966.29766,5711,713,2,NA,0,NA,0,NA,0,1,0,0,0,NA,0,NA,2,1,1,1,0,NA,2,65,2,0,0,0,41,2,3,0,NA,1,1,2,4,1,21
"Female","Other",55,10603300,"2015000880696","A","N",57,41,"'5763'","FM",NA,1,"06",3,687,687,57,3,5.05513266643149,4.11762571425185,-0.266674239709838,-0.124169816067345,47.0377972131428,138.512815268896,2.12542297001883,2.67927487213861,0.165852589559806,0.504314224879835,0.51199832682107,0.64254910978849,3.06550459855969,5.40965060927505,1.99010042182955,0.171898330814744,11.414270769933,5.40965381346796,0.970367263827363,5.40965381345913,0.177517893370849,22.6358912832617,45.7063400994196,66.0259530609526,263.183896260054,0.0977180261660138,25.5301727916457,96.8523242525356,25.8277050102931,31.7326569514912,13.094059574147,63.403666397162,4.91078186916113,26.4978396343149,26.0047249121857,53.7957210114878,15.6436836386576,5.15781700711629,4.399667183563,0.424519427685188,1.99010042183582,0.955168184098717,23.6358912832648,9536.29593103598,0.922633960592242,1,41.2225511720935,-0.219837231584714,0.802649433306826,81.5127918270261,12.3194713230657,24.5169850767501,13452.9403188793,6,12,5,1,3,1930,4,1,1,30000,400,1,11032504,9300,13742,46861.97767,4761,1093,2,NA,0,NA,0,NA,1,1,0,0,1,2,0,NA,2,3,0,1,0,NA,2,72,2,0,0,0,41,1,3,0,NA,1,1,2,3,1,20
"Female","Non-Hispanic White",154,12500400,"2016000597420","W","N",47,60,"'1447114712'","MMMFM",NA,2,"25",4,564,564,47,4,5.11006738951393,4.32873889105151,-0.065933982063194,-0.0179530478892428,71.0088778232311,162.733572931319,2.93541436984749,4.06458561288392,0.245701733796647,1.0583459649477,0.71897056105433,0.799179367936786,4.583714943311,7.97739001303586,2.93541435526227,0.434436230544171,19.4864580199376,2.93541435526227,1.64268013650179,7.97928346736215,0.479771808556071,23.1904103575479,74.9694618748516,97.2219203854198,296.995394397233,0.174964616163936,45.0541275339104,155.201506421354,44.6904605520369,52.234116373997,21.7951136040105,104.807586426681,9.43559733988078,39.37375179233,43.4688146473955,95.9547212262651,24.9810945653088,8.28664110349774,9.79670252772872,0.177203716751468,2.93541435526227,0.937882102060539,24.1904103575479,10457.0442873035,0.397043261303809,1,36.9941191544402,-0.105040082450286,0.90028843609657,76.1127930333044,9.13458699139746,26.8137977839401,17916.1072765526,1,1,7,3,3,1970,3,1,1,30000,1250,1,11004046,0,10324,10232.16813,1587,2622,2,10,0,NA,0,NA,0,1,1,0,1,2,1,2,3,0,0,0,0,0,1,66,NA,3,0,0,30,2,4,0,0,3,0,1,4,1,21
"Male","Non-Hispanic White",260,14935005,"2016001339151","W","N",27,14,"'27272927'","MFMM",NA,2,"49",5,335,335,27,5,5.18834817326183,4.44424318939277,-0.233623122457515,0.0364459565647273,67.3983183247253,185.822911192904,2.62143631053763,3.9389791325574,0.147254720492736,0.893285955795679,0.91608245747695,0.940483284609822,0.828825255879159,7.12580106811035,2.62143631053763,0.406418543487121,24.2939147713241,2.62143631053763,1.60727544151948,7.12580268679797,0.384471015020418,24.7104542474666,44.2867661312413,105.688216901118,341.219495855825,0.45041309639881,33.7312864757501,170.109083819713,36.820548550679,61.7196973395809,22.3621294074951,148.879973198615,8.90355535404601,43.5383628235103,43.5501413103732,90.3018654617264,27.8162273259019,9.19377848968387,8.3039787495036,0.0967629761660385,2.62143631053763,0.947306974041821,25.7104542474666,11520.0205636827,0.251891925523964,1,45.8160568293047,-0.156145944388139,0.855434335419624,119.100550472782,7.4457976660253,19.5186843626351,18651.8927551651,1,12,5,1,3,1960,3,1,2,7000,900,1,11057863,48700,13807,11465.43544,4169,1326,1,20,0,NA,0,NA,4,1,1,1,1,3,1,4,1,1,0,0,1,1,NA,NA,NA,4,0,1,41,2,4,0,0,4,1,1,3,2,20
"Male","Non-Hispanic White",145,12401204,"2014000724191","W","N",32,19,"'32'","M",NA,1,"24",6,393,393,32,6,5.18562413239258,4.49235393479843,0.0478573149229946,0.00874336179712993,93.7105943655906,180.254094970457,3.3287023128247,4.59710890019746,0.207432069373058,1.27357749149166,0.874865837919513,0.958346106507807,6.31955557409697,9.03957542617867,3.3287023128247,0.671240065780423,30.4630338082345,3.3287023128247,1.97132032757538,9.04835100930038,0.310448904192751,27.1522904600228,51.1199713960975,141.698157113337,333.521048178311,0.590138722340835,43.3811278972362,216.913575867872,41.3279491692629,79.0691735996735,27.7548071111715,200.615286470979,12.1458514865582,55.0873434546808,58.5545149788715,123.152015932967,37.1646750015287,10.7822406226152,14.6609295934432,0.230901170110074,3.3287023128247,0.990240018982778,28.1522904600228,11872.6642594295,0.996174089842516,1,47.4608450465767,0.0897940420063809,1.0939489529702,88.9460807774432,8.66449898648994,28.8415378157963,21661.3572831341,1,12,3,1,1,1950,1,2,1,15000,600,1,11000059,0,14889,22812.6252,4232,1467,2,10,0,NA,0,NA,2,1,0,0,0,NA,0,NA,2,0,0,0,0,0,2,65,1,0,0,0,30,2,4,0,0,3,0,1,1,1,10
"Male","Non-Hispanic Black",155,12601100,"2016000025658","B","N",50,94,"'07155047'","FFMF",20,2,"26",7,601,601,50,7,5.16330588599319,4.47551286024885,-0.337930450058494,0.0178201282431658,62.6511733733326,177.882997053123,2.41837934820126,3.08500510663329,0.135200219813286,0.714426151479887,0.897170673922048,0.473317439538062,4.05736387654665,6.56969642988181,2.41837934820126,0.272007607411073,21.2863249094899,2.41837934820126,1.57739291112585,6.57383663651935,0.214741738314103,24.9062638042833,37.7389505539266,93.5734366837018,330.225206743251,0.410342017416018,34.4398908264779,152.125883719717,32.1121764832993,51.872645805429,19.9652455060842,131.548205339782,8.27528036479352,36.5126031100779,39.3682115601364,81.2926491090458,22.1455268555567,7.97570586007881,7.12117227985226,0.313294160252738,2.41837934820126,0.93832649536812,25.9062638042833,11314.0569498925,0.424576964095369,1,40.4628239809282,0.131016544446198,1.13998664160363,86.4275803791093,8.18720957596383,19.7997785579065,17594.6476145945,1,12,6,2,3,1970,3,1,1,3000,1250,1,11036325,27000,14537,18824.65091,587,3493,1,10,0,NA,0,NA,3,1,1,1,1,5,1,5,5,0,1,0,0,1,1,75,NA,5,0,0,30,1,4,0,0,3,0,1,4,2,21
"Female","Non-Hispanic Black",61,10603730,"2015000185531","B","N",40,9,"'40'","F",40,2,"06",8,489,489,40,8,5.09613423317688,4.44587308285274,-0.0219350050751888,0.00856066956381797,83.424170187341,164.79378472893,3.37531841609567,4.26406559008516,0.293494868483171,0.647084608667527,1.06625172978764,1.03513488395931,4.96079442153294,9.17340404178701,3.37531841609525,0.426929096809936,22.7746761658241,3.37531841609525,2.21615397532922,9.17506671573487,0.655432939861316,23.7159408100675,80.8523219049156,118.381367370675,299.810932937274,0.19917720929861,51.4392451198204,160.318276496752,51.4046433244643,57.2384148962792,25.2989340822469,121.435840493425,9.57848592805798,47.7463709104135,50.1544800615185,108.783505161327,29.0091145190056,10.9122334923685,13.2344074850974,0.333520776437018,3.37531841609525,0.911849100016128,24.7159408100675,10636.720240682,0.265250221189403,1,33.4181665216864,-0.327182127476961,0.72095242582241,121.20895539258,9.10113361543012,30.7192238995048,19541.8246212822,1,12,4,1,2,1919,1,2,1,NA,1750,1,11000824,0,13821,22802.50306,5787,720,1,NA,0,NA,0,NA,0,1,0,0,1,3,1,3,1,0,0,1,0,NA,NA,NA,NA,0,0,NA,41,3,2,0,NA,1,1,3,1,1,10
"Female","Non-Hispanic White",191,13604017,"2017000611655","W","N",33,14,"'033733'","MMF",NA,2,"36",9,405,405,33,9,5.1084315498461,4.30718180005483,0.467507736186203,0.0360767840501702,118.473527173849,171.487149521748,4.47243498233793,5.71852095672787,0.414862781323075,1.00500670740131,1.38849683444526,1.32940940592834,8.30363513714873,12.1572774985126,4.47243498233793,0.541519158778221,29.1609783363311,4.47243498233793,2.92169840846127,12.1573387414448,0.581381349570515,25.4897148067468,113.281523071216,182.022020106381,308.898309049451,0.249517125389854,68.0120775652926,231.025496470403,68.8254562713734,98.5770675499924,34.538190084445,154.108713855251,12.5626091420215,71.7712893140359,63.6645286771827,147.825850025332,35.7220386496643,13.7102239949224,24.9036619284245,0.979448307300789,4.47243498233793,0.938017162114221,26.4897148067468,11233.1919920053,0.134417249153931,1,38.816911320284,-0.359902237991734,0.697744535643885,113.9602034986,9.00770427167494,40.2863716951938,23756.1029988032,8,12,7,2,4,1970,7,2,1,7000,2750,1,11008219,44600,10097,16084.87262,1637,2576,1,10,0,NA,0,NA,3,1,1,1,1,2,1,2,1,0,1,0,0,1,1,72,NA,4,0,1,41,2,3,0,0,3,1,1,4,2,21
"Female","Non-Hispanic White",152,12601801,"2017000573710","W","N",20,20,"'21212021'","FFFF",NA,2,"26",10,244,244,20,10,5.10790377654414,4.17315594350303,-0.0119500882608789,-0.0239968869060502,64.1488301828456,161.403411031726,2.70716897753866,3.92848916151454,0.242021864893332,0.568259497527049,0.875412983147341,0.868116450485826,3.55123040282426,7.35839540007683,2.70716897753866,0.272587207670783,18.0098443955574,2.70716897753866,1.74687094715307,7.35884823820985,0.377976741860101,22.6959091638119,64.6714706550842,99.2490461466101,295.172828057008,0.159020508248849,41.45167891418,125.078203624785,37.8953134855462,56.7855172714258,19.9770680782071,88.3721021868495,7.89422840435358,41.5836324009668,39.8190305779181,86.7031040891918,24.0940956227076,8.09693654121806,8.16210098177056,0.254327437433956,2.70716897753866,0.928352505987291,23.6959091638119,10307.2258453006,0.400013203127313,1,37.8462085263689,-0.157589060471167,0.854200734700814,98.0436391157689,9.09594779249646,24.6242676851577,16958.9700987791,1,12,5,3,3,1950,1,2,1,15000,1250,1,11049155,27000,14626,21771.64894,482,3620,1,10,0,NA,0,NA,1,1,1,1,1,3,1,3,2,3,2,2,0,1,1,70,NA,7,0,1,30,1,4,0,0,3,0,1,3,2,20
